district_number,district_name,station_number,station_name,last_name,first_name,party_name,votes
13001,Acadie--Bathurst,26,Shippagan,Godin,Jason,NDP-New Democratic Party,96
13001,Acadie--Bathurst,27,Shippagan,Breau,Dominique,Green Party,4
13001,Acadie--Bathurst,27,Shippagan,Cormier,Serge,Liberal,100
13001,Acadie--Bathurst,27,Shippagan,Girouard-Riordon,Riba,Conservative,9
13001,Acadie--Bathurst,27,Shippagan,Godin,Jason,NDP-New Democratic Party,76
13001,Acadie--Bathurst,28,Haut-Shippegan,Breau,Dominique,Green Party,2
13001,Acadie--Bathurst,28,Haut-Shippegan,Cormier,Serge,Liberal,100
13001,Acadie--Bathurst,28,Haut-Shippegan,Girouard-Riordon,Riba,Conservative,6
13001,Acadie--Bathurst,28,Haut-Shippegan,Godin,Jason,NDP-New Democratic Party,106
13001,Acadie--Bathurst,29,Le Goulet,Breau,Dominique,Green Party,2
13001,Acadie--Bathurst,29,Le Goulet,Cormier,Serge,Liberal,110
13001,Acadie--Bathurst,29,Le Goulet,Girouard-Riordon,Riba,Conservative,6
13001,Acadie--Bathurst,29,Le Goulet,Godin,Jason,NDP-New Democratic Party,122
13001,Acadie--Bathurst,30,Shippagan--Pointe-Sauvage,Breau,Dominique,Green Party,4
13001,Acadie--Bathurst,30,Shippagan--Pointe-Sauvage,Cormier,Serge,Liberal,73
13001,Acadie--Bathurst,30,Shippagan--Pointe-Sauvage,Girouard-Riordon,Riba,Conservative,7
13001,Acadie--Bathurst,30,Shippagan--Pointe-Sauvage,Godin,Jason,NDP-New Democratic Party,77
13001,Acadie--Bathurst,31,Le Goulet,Breau,Dominique,Green Party,3
13001,Acadie--Bathurst,31,Le Goulet,Cormier,Serge,Liberal,116
13001,Acadie--Bathurst,31,Le Goulet,Girouard-Riordon,Riba,Conservative,3
13001,Acadie--Bathurst,31,Le Goulet,Godin,Jason,NDP-New Democratic Party,89
13001,Acadie--Bathurst,32,Centre-Saint-Simon,Breau,Dominique,Green Party,3
13001,Acadie--Bathurst,32,Centre-Saint-Simon,Cormier,Serge,Liberal,102
