district_number,district_name,station_number,station_name,last_name,first_name,party_name,votes
46001,Brandon--Souris, 21B,Brandon,Maguire,Larry,Conservative,102
46001,Brandon--Souris, 21B,Brandon,Neufeld,David,Green Party,5
46001,Brandon--Souris, 21B,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,11
46001,Brandon--Souris, 21B,Brandon,Wyman,Jodi,Liberal,75
46001,Brandon--Souris,22,Brandon,Maguire,Larry,Conservative,92
46001,Brandon--Souris,22,Brandon,Neufeld,David,Green Party,12
46001,Brandon--Souris,22,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,12
46001,Brandon--Souris,22,Brandon,Wyman,Jodi,Liberal,71
46001,Brandon--Souris,23,Brandon,Maguire,Larry,Conservative,90
46001,Brandon--Souris,23,Brandon,Neufeld,David,Green Party,9
46001,Brandon--Souris,23,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,16
46001,Brandon--Souris,23,Brandon,Wyman,Jodi,Liberal,90
46001,Brandon--Souris,24,Brandon,Maguire,Larry,Conservative,72
46001,Brandon--Souris,24,Brandon,Neufeld,David,Green Party,9
46001,Brandon--Souris,24,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,22
46001,Brandon--Souris,24,Brandon,Wyman,Jodi,Liberal,93
46001,Brandon--Souris,25,Brandon,Maguire,Larry,Conservative,131
46001,Brandon--Souris,25,Brandon,Neufeld,David,Green Party,12
46001,Brandon--Souris,25,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,13
46001,Brandon--Souris,25,Brandon,Wyman,Jodi,Liberal,131
46001,Brandon--Souris,26,Brandon,Maguire,Larry,Conservative,95
46001,Brandon--Souris,26,Brandon,Neufeld,David,Green Party,19
46001,Brandon--Souris,26,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,13
46001,Brandon--Souris,26,Brandon,Wyman,Jodi,Liberal,116
46001,Brandon--Souris,27,Brandon,Maguire,Larry,Conservative,83
46001,Brandon--Souris,27,Brandon,Neufeld,David,Green Party,6
46001,Brandon--Souris,27,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,10
46001,Brandon--Souris,27,Brandon,Wyman,Jodi,Liberal,119
46001,Brandon--Souris,28,Chater,Maguire,Larry,Conservative,110
46001,Brandon--Souris,28,Chater,Neufeld,David,Green Party,10
46001,Brandon--Souris,28,Chater,Wastasecoot,Melissa Joy,NDP-New Democratic Party,9
46001,Brandon--Souris,28,Chater,Wyman,Jodi,Liberal,92
46001,Brandon--Souris,29,Brandon,Maguire,Larry,Conservative,117
46001,Brandon--Souris,29,Brandon,Neufeld,David,Green Party,17
46001,Brandon--Souris,29,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,20
46001,Brandon--Souris,29,Brandon,Wyman,Jodi,Liberal,119
46001,Brandon--Souris,30,Brandon,Maguire,Larry,Conservative,71
46001,Brandon--Souris,30,Brandon,Neufeld,David,Green Party,20
